House Code,House Heads Code,House  Description,Date Processed,Items Number,Number of Packages,Goods Descriptions 1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
0105110000,0105110000,"Live fowls of species gallus domesticus, weighing =<185g (chicks)",9/29/2009 10:36AM,1,1,DAY OLDCHICK,4082.03,0.00,SL
0106900000,0106900000,"Live animals, other, nes",6/2/2009 12:02PM,1,752,"752 PCS LIVE ANIMALS;;;300 PCS PRAYING MANTIS, 80 PCS MASH",432.18,0.00,GB
0303420000,0303420000,Frozen yellowfin tunas,2/5/2009 12:37PM,1,356,356.720M/TONSFROZEN YELLOWFIN ROUND,624235.23,0.00,CI
,,,2/5/2009 12:37PM,1,520,520.610M/TONSFROZEN YELLOWFIN ROUND,997037.77,0.00,CI
,,,2/5/2009 12:37PM,1,206,206.832M/TONSFROZEN YELLOWFIN ROUND,361501.54,0.00,CI
,,,2/5/2009 12:37PM,1,957,957.531M/TONSFROZEN YELLOWFIN ROUND,1693520.38,0.00,CI
,,,2/26/2009 11:52AM,1,1217,1217.140 M/TONSFROZEN YELLOWFIN ROUND,1458897.11,0.00,CI
,,,2/26/2009 11:52AM,1,187,187.050 M/TONSFROZEN YELLOWFIN ROUND,227534.41,0.00,CI
,,,2/26/2009 11:52AM,1,747,747.949 M/TONSFROZEN YELLOWFIN ROUND,903708.19,0.00,CI
,,,2/26/2009 11:52AM,1,805,805.130 M/TONSFROZEN YELLOWFIN ROUND,1162871.91,0.00,CI
,,,2/26/2009 11:52AM,1,1667,1667.279 M/TONSFROZEN YELLOWFIN ROUND,2271832.58,0.00,CI
,,,10/8/2009 05:28PM,1,606,606.819 M/TONSFROZEN YELLOWFIN ROUND,840737.34,0.00,CI
,,,10/8/2009 05:28PM,1,921,921.145 M/TONSFROZEN SKIP JACK ROUND,1216620.94,0.00,CI
,,,10/8/2009 05:28PM,1,652,652.290 M/TONSFROZEN YELLOWFIN ROUND,959709.09,0.00,CI
,,,10/8/2009 05:28PM,1,345,345.190 M/TONSFROZEN YELLOWFIN ROUND,511643.97,0.00,CI
,,,10/8/2009 05:28PM,1,973,973.370 M/TONSFROZEN YELLOWFIN ROUND,1325599.59,0.00,CI
,,,10/9/2009 08:35AM,1,651630,651.630 M/TONSFROZEN YELLOWFIN ROUND,879141.90,0.00,CI
,,,10/8/2009 05:28PM,1,498,498.390 M/TONSFROZEN YELLOWFIN ROUND,804742.47,0.00,CI
,,,10/8/2009 05:28PM,1,401,401.095 M/TONSFROZEN YELLOWFIN ROUND,642233.85,0.00,CI
,,,12/16/2009 09:34AM,1,126,126.891 M/TONSFROZEN YELLOWFIN ROUND,224523.08,0.00,CI
,,,12/16/2009 09:34AM,1,456,456.040 M/TONSFROZEN YELLOWFIN ROUND,678300.31,0.00,CI
,,,12/16/2009 09:34AM,1,349,349.937 M/TONSFROZEN YELLOWFIN ROUND,527591.74,0.00,CI
,,,12/16/2009 09:34AM,1,898,898.680 M/TONSFROZEN SKIP JACK ROUND,943384.74,0.00,CI
,,,12/16/2009 09:34AM,1,749,749.000 M/TONSFROZEN YELLOWFIN ROUND,875409.51,0.00,CI
0303490000,0303490000,"Frozen tunas, nes",10/20/2009 01:55PM,1,345347,"345,347 M/T FROZEN TUNA FISH",461048.47,0.00,CI
,,,10/20/2009 01:55PM,1,377300,"377,300 M/T FROZEN TUNA FISH",502553.06,0.00,CI
0303790000,0303790000,"Frozen fish, nes",1/8/2009 02:54PM,1,3089,3 X 40' CONTS. STC 3089 CTNSASSORTED FROZEN FISH FOR EXPORT,228663.34,0.00,ES
,,,1/8/2009 02:55PM,1,1658,2 X 40' CONTS. STC 1658 CTNSASSORTED FROZEN FISH FOR EXPORT,120133.39,0.00,ES
,,,1/23/2009 02:04PM,1,634,1  X 40' CONT. STC 634 CTNSASSORTED FROZEN FISH FOR EXPORT,42351.46,0.00,ES
,,,2/19/2009 11:31AM,1,996,1 X 40' CONT. STC 996 CTNSASSORTED FROZEN FISH FOR EXPORT,62918.62,0.00,ES
,,,2/19/2009 11:31AM,1,4121,4 X 40' CONT. STC 4121 CTNSASSORTED FROZEN FISH FOR EXPORT,259224.70,0.00,ES
,,,2/19/2009 12:19PM,1,1036,1 X 40' CONT. STC 1036 CTNSASSORTED FROZEN FOR EXPORT,65435.36,0.00,ES
,,,2/24/2009 02:07PM,1,1703,2 X 40' CONTS. STC 1703 CTNSASSORTED FROZEN FISH FOR EXPORT,102371.29,0.00,ES
,,,3/17/2009 12:29PM,1,1857,2 X 40' CONTS. STC 1857 CTNSASSORTED FROZEN FISH FOR EXPORT,133014.57,0.00,ES
,,,3/17/2009 12:29PM,1,2064,2 X 40' CONTS. STC 2064 CTNSASSORTED FROZEN FISH FOR EXPORT,134860.38,0.00,ES
,,,4/2/2009 12:03PM,1,1274,1 X 40 CONT. STC 1274 CTNS ASSORTEDFROZEN FISH FOR EXPORT,70359.22,0.00,ES
,,,4/2/2009 12:08PM,1,1317,1 X 40' CONT. STC 1317 CTNSASSORTED FROZEN FISH FOR EXPORT,83344.55,0.00,ES
,,,4/2/2009 12:37PM,1,4045,4 X 40' CONTS. STC 4045 CTNSASSORTED FROZEN FISH FOR EXPORT,224270.00,0.00,ES
,,,4/2/2009 12:37PM,1,3946,4 X 40' CONTS. STC 3946 CTNSASSORTED FROZEN FISH FOR EXPORT,217673.82,0.00,ES
,,,4/17/2009 10:57AM,1,1708,2 X 40' CONTS. STC 1708 CTNSASSORTED FROZEN FISH FOR EXPORT,95062.36,0.00,ES
,,,5/5/2009 11:00AM,1,1400,"FROZEN FISH - (CUTTLE FISH)1,400 CARTONS",24897.25,0.00,CN
,,,5/8/2009 09:49AM,1,472,1 X 20' CONT. STC 472 CTNSASSORTED FROZEN FISH FOR EXPORT,30176.89,0.00,ES
,,,5/8/2009 10:00AM,1,3158,3 X 40' CONT. STC 3158 CTNSASSORTED FROZEN FISH FOR EXPORT,182309.05,0.00,ES
,,,5/18/2009 10:53AM,1,1403,1 X 20' AND 1 X 40' CONTS. STC 1403CTNS ASSORTED FROZEN FISH FOR,90614.13,0.00,ES
,,,5/26/2009 10:25AM,1,612,1 X 20' CONT. STC 612  CTNSASSORTED FROZEN FISH FOR EXPORT,36372.18,0.00,ES
,,,6/11/2009 09:06AM,1,887,1 X 40' CONT. STC 887 CTNSASSORTED FROZEN FISH FOR EXPORT,52928.52,0.00,ES
,,,7/7/2009 02:54PM,1,2687,1 X 20' AND 2 X 40' CONTS. STC2687 CTNS ASSORTED FROZEN FISH,160593.48,0.00,ES
,,,7/7/2009 02:54PM,1,625,1 X 40' CONT. STC 625 CTNSASSORTED FROZEN FISH FOR EXPORT,49106.93,0.00,ES
,,,7/7/2009 02:54PM,1,559,1 X 20' CONT. STC 559 CTNSASSORTED FROZEN FISH FOR EXPORT,33557.09,0.00,ES
,,,7/29/2009 09:36AM,1,843,1 X 40' CONT. STC 843 CTNSASSORTED FROZEN FISH FOR EXPORT,50447.30,0.00,ES
,,,8/6/2009 11:35AM,1,3950,4 X 40' CONTS. STC 3950 CTNSASSORTED FROZEN FISH FOR EXPORT,239784.03,0.00,ES
,,,8/27/2009 09:31AM,1,728,1 X 20' CONT. STC 728 CTNSASSORTED FROZEN FISH,50535.85,0.00,ES
,,,8/27/2009 09:31AM,1,537,1 X 20' CONT. STC 537 CTNSASSORTED FROZEN FISH,33729.68,0.00,ES
,,,9/7/2009 03:13PM,1,971,1 X 40' CONT. STC 971 CTNSASSORTED FROZEN FISH,60033.18,0.00,ES
,,,9/22/2009 03:09PM,1,530,1 X 20' CONT. STC 530 CTNS ASSORTEDFROZEN FISH,33484.24,0.00,ES
,,,9/28/2009 01:24PM,1,480,1 X 20' CONT. STC 480 CTNS ASSORTEDFROZEN FISH,33055.34,0.00,ES
,,,9/28/2009 01:26PM,1,835,1X40' CONT. STC 835 CTNSASSORTED FROZEN FISH,56087.03,0.00,ES
,,,10/7/2009 08:18AM,1,1276,1 X 40' CONT. STC 1276 CTNSASSORTED FROZEN FISH,76296.63,0.00,CN
,,,10/8/2009 02:03PM,1,2934,1 X 20' AND 3 X 40' CONT. STC2934 CTNS ASSORTED FROZEN FISH,176436.51,0.00,ES
,,,10/7/2009 12:36PM,1,1276,1 X 40' CONT. STC 1276 CTNSASSORTED FROZEN FISH,76296.63,0.00,ES
,,,10/22/2009 09:34AM,1,974,1 X 40'  CONT. STC 974 CTNSASSORTED FROZEN FISH,59591.16,0.00,ES
,,,11/4/2009 12:53PM,1,1400,1 X 20' AND 1 X 40' STC 1400 CTNSASSORTED FROZEN FISH,96376.77,0.00,ES
,,,11/6/2009 12:25PM,1,2269,2 X 40' AND 1 X 20' STC 2269 CTNSASSORTED FROZEN FISH,135589.66,0.00,ES
,,,11/16/2009 10:59AM,1,1622,2 X 40' CONT. STC 1622 CTNSASSORTED FROZEN FISH,110402.82,0.00,ES
,,,12/1/2009 02:32PM,1,836,1 X 40' CONT. STC 836 CTNSASSORTED FROZEN FISH,49377.72,0.00,ES
,,,12/2/2009 09:14AM,1,870,1 X 40' CONT. STC 870 CTNSASSORTED FROZEN FISH,61065.85,0.00,ES
,,,12/10/2009 04:40PM,1,7,FROZEN  FISH  ( SAMPLE ),1159.68,0.00,CH
,,,12/10/2009 05:10PM,1,800,1 X 40FT CONT STC 800 CTNSASSORTED FROZEN FISH,47026.84,0.00,ES
,,,12/19/2009 11:01AM,1,1887,2 X 40' STC 1887 CTNS ASSORTEDFROZEN FISH,112591.90,0.00,ES
,,,12/19/2009 11:01AM,1,966,1X 40 FT CONT STC 966ASSORTED FROZEN FISH,58641.63,0.00,ES
,,,12/19/2009 11:01AM,1,902,1 X 40' CONT. STC 902 CTNS ASSORTEDFROZEN FISH,53950.29,0.00,ES
,,,12/19/2009 11:01AM,1,1450,1 X 20' AND 1 X 40' STC 1450 CTNSASSORTED FROZEN FISH,100568.37,0.00,ES
,,,12/19/2009 01:12PM,1,1760,2X40FT CONT. STC 1760ASSORTED FROZEN FISH,85700.59,0.00,ES
,,,12/31/2009 02:15PM,1,800,1 X40FT CONT. STC 800  CTNSASSORTED FROZEN FISH,11549.60,0.00,ES
0305590000,0305590000,"Dried fish, not smoked (excl. cod)",1/9/2009 03:56PM,2,1,DRY FISH(GIFT),61.75,0.00,CA
0305690000,0305690000,"Fish salted or in brine but not dried or smoked - other, nes",1/22/2009 02:44PM,1,1,FISH,31.40,0.00,IN
,,,3/17/2009 03:09PM,1,144,SMOKED FISH,0.01,0.00,US
0402291000,0402291000,"Milk&Cream, pkg >= 25 kg - other, nes",2/14/2009 10:43AM,3,191,191 CARTONS ASSORTED PROVISIONS,4436.67,0.00,ZA
,,,3/25/2009 10:04AM,3,70,70 CARTON OF ASSORTED PROVISIONS(MILK),1706.44,0.00,ZA
,,,7/16/2009 09:35AM,4,317,ASSORTED PROVISIONS (MILK),1852.73,0.00,ZA
,,,10/23/2009 05:03PM,5,50,50 PKGS. ASSORTED PROVISION (MILK),430.56,0.00,ZA
0402292900,0402292900,"Milk&Cream, pkg < 25 kg - other, nes",12/23/2009 04:58PM,5,51,51 PKGS OF ASSORTED PROVISIONS(MILK),446.81,0.00,ZA
,,,12/24/2009 02:28PM,5,51,51 PKGS OF ASSORTED PROVISIONS(MILK),446.81,0.00,ZA
0402910000,0402910000,"Milk&Cream, not sweetened, not solid - other, nes",3/23/2009 11:50AM,1,2160,2160 TRAYS OF GLORIA FCRM MILK EVP.24 X 170G,35723.69,0.00,NE
0405100000,0405100000,Butter,2/2/2009 03:44PM,1,4,SHEA BUTTERCOCOA BUTTER,129.76,0.00,GB
,,,3/16/2009 02:18PM,2,7,COCOA BUTTERSHEA BUTTER,744.69,0.00,GB
,,,10/30/2009 02:25PM,1,146,146 BAG OF SHEA BUTTER AND AFRICANSOAP,90.77,0.00,US
,,,11/20/2009 10:20AM,9,7,7 BUCKET SHEAR BUTTER,152.31,0.00,JP
0408110000,0408110000,Dried egg yolks,2/23/2009 09:56AM,4,20,20 BAGS OF GROUNDED GUSHI,530.12,0.00,US
0409000000,0409000000,Natural honey,6/24/2009 04:48PM,1,2,PURE HONEY,161.79,0.00,US
0501000000,0501000000,"Human hair and waste, unworked",3/25/2009 02:38PM,1,1,HAIR PIECES & AFRICAN CLOTHING,0.01,0.00,ES
0602900000,0602900000,"Live plants - other, nes",5/28/2009 02:35PM,1,1,HERBAL PRODUCTS,1149.20,0.00,CM
0603100000,0603100000,Fresh cut flowers and buds,1/9/2009 08:41AM,1,146,CUT FLOWERS,988.00,0.00,NL
,,,1/16/2009 04:05PM,1,128,FRESH CUT FLOWERS,999.76,0.00,NL
,,,1/23/2009 03:42PM,1,121,FRESH CUT FLOWERS,1004.72,0.00,NL
,,,3/7/2009 04:12PM,1,99,CUT FLOWERS,1081.76,0.00,NL
,,,3/20/2009 05:00PM,1,121,CUT FLOWERS,1097.84,0.00,NL
,,,4/30/2009 02:49PM,1,79,CUT FLOWERS,1133.60,0.00,NL
0604990000,0604990000,"Parts of plants, without flowers or buds, for ornamental purposes",1/21/2009 03:31PM,1,334,334 BALES RUBBER WOOD LOGS,500.82,0.00,BE
0701900000,0701900000,"Potatoes, fresh or chilled - other, nes",3/18/2009 11:09AM,3,1,POTATOES,27.45,0.00,FR
0703100000,0703100000,"Onions and shallots, fresh or chilled",2/9/2009 10:59AM,1,172,SHALLOTS,444.14,0.00,FR
0708900000,0708900000,"Leguminous vegetables, fresh or chilled, nes",3/25/2009 12:13PM,3,30,LEGON18BIRDEYE,138.46,0.00,FR
0709300000,0709300000,"Aubergines, fresh or chilled",1/22/2009 02:44PM,4,1,GARDEN EGGS,37.68,0.00,IN
,,,3/18/2009 11:09AM,4,1,GARDEN EGGS,27.45,0.00,FR
0709700000,0709700000,"Spinach, fresh or chilled",5/28/2009 09:47AM,4,80,80 CTNS OF RUKER SPINACH(NKONTOMIRE),3797.05,0.00,NL
,,,11/26/2009 08:52AM,5,71,71 CTNS RUKER NKONTOMIRE (SPINACH)350GX48,6531.70,0.00,NL
0709909000,0709909000,"Vegetables, fresh or chilled - other, nes",3/18/2009 11:09AM,5,1,TURIA TINDA,27.45,0.00,FR
,,,3/25/2009 12:13PM,2,1,"TURIA , MARROWTINDA, RAVAYA",55.38,0.00,FR
0714901000,0714901000,Yams,1/5/2009 10:09AM,1,600,FRESH YAMS,13293.72,0.00,CA
,,,1/5/2009 12:54PM,1,5000,5000 CTNS FRESH YAM,122591.00,0.00,NL
,,,1/5/2009 12:54PM,1,3200,3200 CTNS FRESH YAM,78458.24,0.00,NL
,,,1/7/2009 09:57AM,1,1000,1000 CTNS FRSH YAM,22230.00,0.00,US
,,,2/27/2009 10:23AM,1,880,880 CTNS FRESH YAM,10868.00,0.00,GB
,,,1/7/2009 11:44AM,1,900,900 CTNS FRESH YAM,21339.36,0.00,ES
,,,1/7/2009 11:49AM,1,900,FRESH YAMS,20007.00,0.00,US
,,,1/7/2009 04:11PM,1,3200,3200 CTNS FRESH YAMS,51531.84,0.00,GB
,,,1/8/2009 10:01AM,1,10000,10000 CTNS FRESH YAMS ANDCOCOYAM,178930.00,0.00,GB
,,,1/8/2009 03:01PM,1,2350,2350 CTNS FRESH YAM,55719.44,0.00,NL
,,,1/9/2009 09:25AM,1,900,900 CTNS FRESH YAM,21339.36,0.00,NL
,,,1/9/2009 03:56PM,1,1,YAMS(FOOD STUFFS),61.75,0.00,CA
,,,1/9/2009 02:33PM,1,1000,1000 CTNS FRESH YAMS AND,14314.40,0.00,GB
,,,1/12/2009 09:26AM,1,880,880 CTNS FRESH YAMS,15745.84,0.00,GB
,,,1/12/2009 12:12PM,1,520,520 CTNS OF FRESH YAMS,9766.99,0.00,NL
,,,1/12/2009 02:34PM,1,900,900 CTNS FRESH YAM,21339.36,0.00,NL
,,,1/12/2009 02:34PM,1,880,880 CTNS FRESH YAMS,15745.84,0.00,GB
,,,2/4/2009 11:02AM,1,10000,10000 CTNS FRESH YAMS,178930.00,0.00,GB
,,,1/12/2009 03:31PM,1,3000,3000 CTNS FRESH YAM,3705.00,0.00,IT
,,,1/14/2009 11:52AM,1,4000,4000 CTNS FRESH YAM,49988.00,0.00,NL
,,,1/14/2009 02:48PM,1,3360,3360 CTNS FRESH YAM,78514.46,0.00,NL
,,,1/19/2009 08:26AM,1,1000,FRESH YAMS,18801.00,0.00,GB
,,,1/19/2009 11:55AM,1,1800,1800 CTNS FRESH YAM,40490.28,0.00,US
,,,1/20/2009 09:44AM,1,1000,1000 CTNS FRESH YAM,22606.20,0.00,US
,,,1/20/2009 10:31AM,1,1000,1000 CTNS FRESH YAM,22606.20,0.00,US
,,,1/21/2009 09:50AM,1,1000,1000 CTNS FRESH YAM,22606.20,0.00,US
,,,1/21/2009 10:35AM,1,500,FRESH YAMS,11685.80,0.00,DE
,,,1/21/2009 11:46AM,1,10000,10000 CTNS FRESH YAMS ANDCOCOYAM,184830.00,0.00,GB
,,,1/22/2009 01:18PM,1,1000,1000 CTNS FRESH YAM,22606.20,0.00,US
,,,1/22/2009 02:44PM,3,1,YAMS,31.40,0.00,IN
,,,1/22/2009 02:58PM,1,880,880 CTNS FRESH YAMS,16265.04,0.00,GB
,,,1/23/2009 09:42AM,1,1000,1000 CTNS FRESH YAM,15070.80,0.00,GB
,,,1/26/2009 04:07PM,1,3000,3000 CTNS FRESH YAMS,55449.00,0.00,GB
,,,1/27/2009 09:37AM,1,520,520 CTNS OF FRESH YAMS,9474.62,0.00,NL
,,,1/27/2009 10:11AM,1,4000,4000 CTNS FRESH YAM,92114.40,0.00,NL
,,,1/27/2009 10:12AM,1,5000,5000 CTNS FRESH YAM,115143.00,0.00,NL
,,,1/27/2009 12:11PM,1,600,600 CTNS FRESH YAM,12242.88,0.00,CA
,,,1/27/2009 12:39PM,1,600,600CTNS YAM,13773.24,0.00,CA
,,,1/27/2009 02:03PM,1,800,800 CTNS FRESH YAMS,18364.32,0.00,US
,,,1/28/2009 11:51AM,1,500,FRESH YAMS,11514.30,0.00,DE
,,,1/28/2009 12:10PM,1,1000,1000 CTNS FRESH YAMS AND,13875.20,0.00,GB
,,,1/28/2009 12:31PM,1,2000,2000 CTNS OF FRESH YAMS,36326.92,0.00,US
,,,1/28/2009 01:12PM,1,1000,1000 CTN OF FRESH YAMS,22955.40,0.00,US
,,,1/28/2009 02:05PM,1,1000,FRESH YAMS,22955.40,0.00,CA
,,,2/2/2009 03:46PM,1,900,900 CTNS FRESH YAM,20725.74,0.00,NL
,,,1/29/2009 11:23AM,1,400,FRESH YAMS::::-10 PALLETS CTNG 400 CARTONS,9182.16,0.00,GB
,,,1/29/2009 11:23AM,1,400,FRESH YAMS::::-10 PALLETS CTNG 400 CARTONS,9182.16,0.00,GB
,,,1/30/2009 10:48AM,1,500,FRESH YAM,11514.30,0.00,BE
,,,2/2/2009 09:44AM,1,5000,5000 CTNS FRESH YAMS,115143.00,0.00,NL
,,,2/3/2009 02:11PM,1,2000,2000 CTNS FRESH YAM,30986.40,0.00,GB
,,,2/4/2009 11:45AM,1,1000,1000CTNS FRESH YAMS,23239.80,0.00,US
,,,2/4/2009 01:16PM,1,6000,6000 CTNS FRESH YAMS,110862.00,0.00,GB
,,,2/5/2009 12:13PM,1,900,FRESH YAMS,20915.82,0.00,US
,,,2/6/2009 08:28AM,1,900,FRESH YAMS,20915.82,0.00,US
,,,2/6/2009 09:37AM,1,1000,1000 CTNS FRESH YAMS AND,14781.60,0.00,GB
,,,2/9/2009 10:46AM,1,4000,4000 CTNS FRESH YAMS,73908.00,0.00,GB
,,,2/11/2009 12:34PM,1,2000,2000 CTNS FRESH YAM,31615.20,0.00,GB
,,,2/11/2009 04:06PM,1,1000,1000 CTNS FRESH YAMS,23711.40,0.00,US
,,,2/13/2009 12:01PM,1,1600,1600 CTNS FRESH YAM,31615.20,0.00,CA
,,,2/12/2009 11:44AM,1,2000,2000 CTNS OF FRESH YAMS,24564.20,0.00,GB
,,,2/14/2009 10:43AM,1,125,125 CARTONS OF FRESH YAM,2344.79,0.00,ZA
,,,2/13/2009 02:00PM,1,3000,3000 CTNS FRESH YAM,71316.00,0.00,NL
,,,2/14/2009 08:33AM,1,500,FRESH YAM,11886.00,0.00,BE
,,,2/17/2009 08:19AM,1,1000,FRESH YAMS,18818.00,0.00,GB
,,,2/18/2009 01:11PM,1,600,600 CTNS OF FRESH YAMS,8017.47,0.00,NL
,,,2/18/2009 01:52PM,1,80,80 CTNS OF FRESH YAMS,1068.88,0.00,DE
,,,2/19/2009 08:44AM,1,900,FRESH YAMS,21469.86,0.00,US
,,,2/19/2009 09:45AM,1,1000,1000 CTNS OF FRESH YAMS,23855.40,0.00,US
,,,2/20/2009 10:28AM,1,650,650 CTNS FRESH YAM,13171.08,0.00,NL
,,,2/20/2009 10:58AM,1,400,FRESH YAMS::::-10 PALLETS CTNG 400 CARTONS,9542.16,0.00,GB
,,,2/23/2009 10:03AM,1,2000,2000 CTNS OF FRESH YAMS,47710.80,0.00,US
,,,2/24/2009 01:44PM,1,900,900 CTNS OF FRESH YAMS,17275.16,0.00,US
,,,2/25/2009 03:56PM,1,1100,FRESH YAMS,26684.46,0.00,NL
,,,2/26/2009 11:41AM,1,10000,10000 CTNS FRESH YAM,242586.00,0.00,NL
,,,2/26/2009 11:41AM,1,3000,3000 CTNS FRESH YAM,4043.10,0.00,IT
,,,2/26/2009 11:41AM,1,3000,3000 CTNS FRESH YAM,4043.10,0.00,IT
,,,2/26/2009 11:41AM,1,10000,10000 CTNS FRESH YAM,242586.00,0.00,NL
,,,2/27/2009 10:32AM,1,2000,2000 CTNS OF FRESH YAMS,30711.39,0.00,US
,,,2/27/2009 03:21PM,1,2000,2000 CTNS FRESH YAMS,37344.00,0.00,GB
,,,2/28/2009 11:12AM,1,1030,FRESH YAMS,24986.36,0.00,US
