House Code,House Heads Code,House  Description,Date Processed,Items No,Number of Packages,Goods Descriptions 1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
0106200000,0106200000,Reptiles (including snakes and turtles),3/28/2012 03:16PM,1,8,LIVE REPTILES,867.25,0.00,US
,,,5/22/2012 10:20AM,1,3,LIVE REPTILES,934.10,0.00,US
,,,5/22/2012 11:08AM,1,12,LIVE REPTILES,1307.74,0.00,US
0210990000,0210990000,"Other meat, salted... or smoked, nes",4/12/2012 10:12AM,1,36,SMOKE DRIED FISH,350.06,0.00,US
0303750000,0303750000,Frozen dogfish and sharks,6/21/2012 12:28PM,1,2600,2600 KGS FROZEN SHARK FINS,4940.78,0.00,PT
,,,,2,8000,8000 KGS FROZEN SHARK,15202.40,0.00,
0303790000,0303790000,"Frozen fish, nes",1/24/2012 10:47AM,1,3627,3 X 40' & 1X 20 CONT. STC 3627 CTNSASSORTED FROZEN FISH,239756.74,0.00,ES
,,,2/9/2012 10:27AM,1,3702,3 X 40' & 1 X 20 CONT.STC 3702 CTNSASSORTED FROZEN FISH,252354.24,0.00,ES
,,,2/29/2012 11:02AM,1,849,849 PKGS SMOUTH HOUND(MUSTEKUS MUSTELUS),36806.10,0.00,PT
,,,,2,308,308 PKGS CRABE ROYALE(CHACEON AFFINIS),9838.69,0.00,
,,,3/2/2012 04:59PM,1,1141,1 X 40' CONT.STC 1141 CTNSASSORTED FROZEN FISH,78482.05,0.00,ES
,,,3/15/2012 09:48AM,1,2620,2 X 40' AND 1 X 20' CONTS. STC 2620CTNS ASSORTED FROZEN FISH,180765.24,0.00,ES
,,,4/3/2012 09:37AM,1,1848,2 X 40' CONTS. STC 1848 CTNS ASSORTED FROZEN FISH,131023.85,0.00,ES
,,,4/11/2012 08:22AM,1,824,1 X 20' CONTS. STC 824 CTNS ASSORTED FROZEN FISH,59621.03,0.00,ES
,,,4/18/2012 04:27PM,1,667,1 X 40' CONT. STC 667 CTNSASSORTED FROZEN FISH,47804.79,0.00,ES
,,,6/21/2012 12:28PM,3,600,600 KGS FROZEN MONK FISH,1140.18,0.00,PT
,,,,4,800,800 KGS FROZEN BLUE NOSE,1520.24,0.00,
,,,,5,1500,1500 KGS FROZEN ORANGE ROUGHY,2850.45,0.00,
0305490000,0305490000,Smoked fish (excl. salmon and herrings),1/10/2012 02:21PM,1,19,SMOKE /DRIED FISH,964.02,0.00,GB
,,,2/3/2012 04:49PM,1,20,SMOKED  AND DREID FISH,1683.90,0.00,GB
,,,2/3/2012 04:49PM,1,8,SMOKED  AND DREID FISH,841.95,0.00,GB
,,,3/5/2012 09:23AM,1,22,SMOKED  AND DREID FISH,1696.20,0.00,GB
,,,3/13/2012 12:10PM,1,20,SMOKED  AND DREID FISH,1701.40,0.00,GB
,,,3/13/2012 12:10PM,1,69,SMOKE /DRIED FISH,1020.84,0.00,GB
,,,3/13/2012 12:14PM,1,26,SMOKE /DRIED FISH,1020.84,0.00,GB
,,,3/30/2012 02:20PM,1,19,SMOKED  AND DREID FISH,1734.50,0.00,GB
,,,3/30/2012 02:20PM,1,1,SMOKED FISH,867.25,0.00,US
,,,4/17/2012 03:44PM,1,2,SMOKED /DRY FISH,883.70,0.00,US
,,,4/20/2012 03:26PM,1,28,SMOKED /DRIED FISH,1237.18,0.00,US
,,,5/4/2012 10:03AM,1,7,SMOKED  AND DREID FISH,1451.84,0.00,GB
,,,6/7/2012 11:21AM,1,5,SMOKE FISH,1135.50,0.00,US
,,,8/3/2012 11:58AM,1,6,"SMOKED FISH, SHRIMPS POWDEREDFISH FOOD ITEMS",194.05,0.00,US
,,,9/20/2012 01:34PM,1,12,DRIED FISH,959.50,0.00,US
0404900000,0404900000,"Products consisting of natural milk constituents, nes",4/11/2012 04:44PM,5,200,SUPREME EGG PLANT,350.06,0.00,US
,,,7/24/2012 03:50PM,2,800,800 CTNS NEAT FUFU,1550.88,0.00,US
0405100000,0405100000,Butter,6/20/2012 03:52PM,1,413,210 KGS X 1 DRUM BULK SHEAR BUTTER203KGS X 1 DRUM BULK SHEAR BUTTER,117.72,0.00,ZA
0709909000,0709909000,"Vegetables, fresh or chilled - other, nes",1/11/2012 02:07PM,1,2,FOOD ITEMS AND  VEGETABLES,3213.40,0.00,GB
,,,1/19/2012 09:18AM,1,2,FOOD ITEMS AND  VEGETABLES,3219.80,0.00,GB
,,,1/26/2012 04:32PM,1,2,FOOD ITEMS AND  VEGETABLES,3260.20,0.00,GB
,,,2/1/2012 02:49PM,1,101,FOOD ITEMS AND  VEGETABLES,3367.80,0.00,GB
,,,2/9/2012 04:10PM,1,2,FOOD ITEMS AND  VEGETABLES,3362.00,0.00,GB
,,,2/22/2012 04:50PM,1,2,FOOD ITEMS AND  VEGETABLES,3383.60,0.00,GB
,,,3/16/2012 04:24PM,1,1,FOOD ITEMS AND  VEGETABLES,3402.80,0.00,GB
,,,3/21/2012 01:23PM,1,2,FOOD ITEMS AND  VEGETABLES,3425.00,0.00,GB
,,,3/28/2012 03:48PM,1,2,FOOD ITEMS AND  VEGETABLES,3469.00,0.00,GB
,,,4/19/2012 12:07PM,1,90,FOOD ITEMS AND  VEGETABLES,3534.80,0.00,GB
,,,7/31/2012 04:18PM,1,213,FRESH VEGETABLESCHILLIES,1940.50,0.00,GB
0714901000,0714901000,Yams,1/26/2012 04:41PM,1,1000,FRESH YAMS,19228.80,0.00,US
,,,1/3/2012 01:09PM,1,500,FRESH YAM,2916.90,0.00,DE
,,,1/3/2012 01:32PM,1,6000,FRESH YAMS,19228.80,0.00,GB
,,,1/3/2012 01:32PM,1,6000,FRESH YAMS,19228.80,0.00,GB
,,,1/5/2012 09:56AM,1,650,FRESH YAMS,18748.08,0.00,NL
,,,1/5/2012 04:05PM,1,1000,FRESH YAMS,3204.80,0.00,US
,,,1/6/2012 11:31AM,1,14,14 PALLETS S.T.C 545 CARTONS OFFRESH YAMS,13596.66,0.00,GB
,,,1/9/2012 02:15PM,1,10000,FRESH YAMS,249480.00,0.00,GB
,,,1/11/2012 10:10AM,1,5000,FRESH YAMS,143311.00,0.00,IT
,,,1/10/2012 01:59PM,1,1000,FRESH YAMS,24795.00,0.00,GB
,,,1/11/2012 07:50PM,1,400,FRESH YAMS (10 PALLET STC 400CTNS),11568.24,0.00,GB
,,,1/13/2012 12:47PM,1,5000,FRESH YAMS,123975.00,0.00,GB
,,,1/13/2012 04:07PM,1,3000,FRESH YAMS,8598.66,0.00,NL
,,,1/16/2012 10:24AM,1,2310,FRESH YAMS,66209.68,0.00,NL
